Tanggal Rilis,Judul,Deskripsi,Link,Timestamp
2024-05-11 17:12:00,15 Game Indonesia yang Rilis Sepanjang Bulan Januari-April 2024,"Soal perkembangan industri game di dunia, Indonesia ikut berkontribusi di dalamnya. Sampai akhir April kemarin, studio game lokal rilis 15 game baru di 2024.",https://inet.detik.com/games-news/d-7335136/15-game-indonesia-yang-rilis-sepanjang-bulan-januari-april-2024,2025-03-12 09:41:39
2024-04-01 15:48:00,"Viral Developer RI Bikin Game Cosmic Horor, Joko Anwar Kepincut","Belum lama ini viral developer game asal Indonesia, yang bikin game bertema cosmic horor. Sutradara kondang sampai YouTuber game pun kepincut ingin menjajalnya.",https://inet.detik.com/games-news/d-7272382/viral-developer-ri-bikin-game-cosmic-horor-joko-anwar-kepincut,2025-03-12 09:41:39
2024-03-18 14:17:00,Menyala Adikku! Bocah Lampung Kelas 6 SD Bikin Game Android,Seorang siswi kelas enam SD bikin game Android. Game berjudul Jelajah Lampung Berjaya dan Lorong Toleransi Pancasila tersebut sudah bisa diunduh di Play Store.,https://inet.detik.com/games-news/d-7247777/menyala-adikku-bocah-lampung-kelas-6-sd-bikin-game-android,2025-03-12 09:41:39
2024-03-07 19:45:00,Keren! Game Lokal Paw Rumble Tembus 2 Juta Download di Android,"Game lokal berjudul Paw Rumble kini tembus dua juta download. Karya anak bangsa ini punya basis pengguna terbesar di India, Pakistan, dan Indonesia.",https://inet.detik.com/games-news/d-7230179/keren-game-lokal-paw-rumble-tembus-2-juta-download-di-android,2025-03-12 09:41:39
2024-02-23 21:45:00,Pemerintah Targetkan Raih Dana Pengembangan Game Lokal Rp 600 Miliar,"Pemerintah akan membuka akses pembiayaan dan permodalanuntuk mengembangkan industri game Indonesia, seperti target yang tertuang di Perpres Nomor 19 Tahun 2024.",https://inet.detik.com/games-news/d-7208540/pemerintah-targetkan-raih-dana-pengembangan-game-lokal-rp-600-miliar,2025-03-12 09:41:39
2024-02-22 14:10:00,Perpres Industri Game Nasional: Bikin 3-5 Game Flagship Multiplayer,"Peraturan Presiden (Perpres) Nomor 19 Tahun 2024 Tentang Percepatan Pengembangan Industri Gim Nasional punya program menarik, yakni bikin game multiplayer.",https://inet.detik.com/games-news/d-7206168/perpres-industri-game-nasional-bikin-3-5-game-flagship-multiplayer,2025-03-12 09:41:39
2024-02-21 22:36:00,"Biaya Bikin Game Indonesia Capai Rp 20 Miliar, Pendapatannya Berapa?","Terungkap, biaya pembuatan game Indonesia ada yang mencapai Rp 20 miliar. Dari uang segitu, kira-kira berapa pendapatan yang diperoleh ya?",https://inet.detik.com/games-news/d-7205268/biaya-bikin-game-indonesia-capai-rp-20-miliar-pendapatannya-berapa,2025-03-12 09:41:39
2024-02-21 15:02:00,Perpres Game Menguak Masalah di Industri Game Nasional,Peraturan Presiden (Perpres) Nomor 19 Tahun 2024 Tentang Percepatan Pengembang Industri Gim Nasional menguak masalah yang dihadapi industri Gim Nasional.,https://inet.detik.com/games-news/d-7204260/perpres-game-menguak-masalah-di-industri-game-nasional,2025-03-12 09:41:43
2024-01-29 15:23:00,Asosiasi Game: Aturan Publisher Game Berbadan Hukum Masih Digodok,Ternyata aturan Kominfo terkait publisher game wajib berbadan hukum di Indonesia yang katanya udah selesai dan sedang penomoran di Kememkum itu masih digodok.,https://inet.detik.com/games-news/d-7166263/asosiasi-game-aturan-publisher-game-berbadan-hukum-masih-digodok,2025-03-12 09:41:43
2024-01-17 09:07:00,"Developer Lokal Agate Berencana Rilis Game di iPhone 15, Tapi...","Agate, developer dan publisher game lokal, berencana merilis karya mereka ke iPhone 15. Tapi itu semua tergantung dari uji coba yang sedang dilakukannya.",https://inet.detik.com/games-news/d-7145392/developer-lokal-agate-berencana-rilis-game-di-iphone-15-tapi,2025-03-12 09:41:43
2024-01-11 22:10:00,"Indonesia Dominasi Asia Tenggara, Terbanyak Rilis Game di Steam","Keren banget, Indonesia mendominasi di Asia Tenggara, sebagai negara paling banyak rilis game di Steam. Sejauh ini, sudah ada 256 judul yang rilis di Steam.",https://inet.detik.com/games-news/d-7136401/indonesia-dominasi-asia-tenggara-terbanyak-rilis-game-di-steam,2025-03-12 09:41:43
2023-12-03 13:27:00,Toge Productions Akuisisi Mojiken Studio Rp 25 Miliar,"Toge Porductions mengumumkan strategi baru dalam mengembangkan bisnisnya. Mereka belum lama ini mengakuisisi Mojiken Studio, pengembang A Space for the Unbound.",https://inet.detik.com/games-news/d-7069461/toge-productions-akuisisi-mojiken-studio-rp-25-miliar,2025-03-12 09:41:43
2023-11-14 20:17:00,"Daftar Nominasi The Game Awards 2023, Ada dari Indonesia!","Salah satu ajang penghargaan game terbesar di dunia, The Game Awards 2023, sudah mengumumkan daftar nominasinya. Di dalamnya ada game Indonesia lho.",https://inet.detik.com/games-news/d-7037032/daftar-nominasi-the-game-awards-2023-ada-dari-indonesia,2025-03-12 09:41:43
2023-11-14 17:15:00,"Ini Game Lokal yang Masuk Nominasi The Game Awards 2023, Yuk Bantu Vote","Keren banget, game buatan developer Indonesia berjudul A Space for the Unbound, masuk nominasi The Game Awards 2023. Yuk bantu vote supaya game ini bisa menang.",https://inet.detik.com/games-news/d-7036664/ini-game-lokal-yang-masuk-nominasi-the-game-awards-2023-yuk-bantu-vote,2025-03-12 09:41:44
2023-11-10 22:01:00,"Menjajal Beta Testing Wardeka: Battleground, Game-nya Seru Tapi...","Wardeka: Battleground, game mobile garapan developer lokal, membuka akses beta testing. Gameplay cukup seru, tapi masih ada beberapa yang mesti dikembangkan.",https://inet.detik.com/games-news/d-7030476/menjajal-beta-testing-wardeka-battleground-game-nya-seru-tapi,2025-03-12 09:41:44
2023-11-10 20:52:00,Game RI Wardeka: Battleground Siap Saingi Free Fire dan PUBG Mobile,"Wardeka Battleground, game shooting karya anak bangsa, siap saingi Free Fire dan PUBG Mobile. Kendati siap, namun sepertinya tidak bisa dalam waktu dekat.",https://inet.detik.com/games-news/d-7030382/game-ri-wardeka-battleground-siap-saingi-free-fire-dan-pubg-mobile,2025-03-12 09:41:44
2023-11-10 19:33:00,Majamojo Bakal Rilis Game Shooting Kompetitif Karya Anak Bangsa,"Indonesia akan kedatangan game kompetitif karya anak bangsa nih. Diberi judul Wardeka Battleground, game ini akan dirilis oleh Majamojo.",https://inet.detik.com/games-news/d-7030228/majamojo-bakal-rilis-game-shooting-kompetitif-karya-anak-bangsa,2025-03-12 09:41:44
2023-11-03 16:40:00,Cara Telkomsel Jaga Duit Gamer RI Agar Tak Lari ke Game Luar,"Beredar sebuah fakta, kalau gamer di Tanah Air sudah menghabiskan Rp 30 triliun untuk game luar. Lantas bagaimana supaya uang tersebut bisa dinikmati Indonesia?",https://inet.detik.com/games-news/d-7017472/cara-telkomsel-jaga-duit-gamer-ri-agar-tak-lari-ke-game-luar,2025-03-12 09:41:48
2023-11-02 14:15:00,Miris Banget! Duit Gamer Indonesia Rp 30 Triliun Ludes buat Game Luar,Kabar menyedihkan datang dari industri game di Indonesia. Pasalnya gamer di Tanah Air sudah mengeluarkan Rp 30 triliun untuk game online luar negeri.,https://inet.detik.com/games-news/d-7015262/miris-banget-duit-gamer-indonesia-rp-30-triliun-ludes-buat-game-luar,2025-03-12 09:41:48
